   1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 
3930 10237 11101    157 247 
3928    117 152 178 
3918 7656 10699    55 57 63 187 340 
3918 6971 7656 9121 10006 10699    57 187 340 
3881 6990 10125 11253    231 319 
3845 5120    256 336 
3826 9723    9 14 51 71 288 297 312 316 
3826 9723 11375    51 288 297 312 316 
3826 9723 11375 12392    312 
3826 6150 9723 11375    297 
3823 11120    69 321 343 
3819    118 274 
3794    108 186 
3785    102 245 336 
3785 7230 7511 8288    245 336 
3777    48 211 248 
3777 9131    211 248 
3777 4281    48 248 
3777 4156 4281 9131 10186    248 
3760    102 261 
3741 4425 4868 7340 10895 11718    77 
3728 9782    4 82 
3661    42 83 121 345 
3661 7687    42 83 121 
3630 5647    36 151 157 
3630 5647 6888 12510    36 157 
3627 10251    243 311 
3609 4431 5330 5456    86 
3521 7078    191 274 
3497 3913 4661 10032 10793    196 225 307 
3453 8650 10551    67 119 
3441 5302 6183    2 55 161 193 
3441 5302 6183 7805 10340    55 161 
3419 4275 9929 10143    208 
3392    79 306 336 
3332    4 135 147 
3332 5926    135 147 
3330 4066    80 246 
3260 3283 4268 12464    78 263 308 
3260 3283 4194 4268 7355 7524 8718 8771 12464    78 308 
3251    75 102 
3217    191 273 276 
3213 9159    131 213 
3213 9159 10387 11463    213 
3208 4028 7618    350 
3207 11509 11624    185 251 338 
3207 4216 6433 8547 11509 11624    251 338 
3206 5178    119 164 
3178 6970 7629 9254    111 
3134 4978    62 107 338 
3134 4978 6736 7898 9258 9504    107 338 
3104 5616 5690 7345 8187 8590 10962 11173 12014    36 109 
3084 4223    119 209 260 
3076    120 183 218 222 226 229 
3076 5575 6905 8320 9774 10224    218 226 
3076 3130    183 222 226 229 
3076 3130 5575 6440 6905 8320 9454 9774 9850 10224    226 
3055 10373    173 191 
3023    30 207 
3002    55 85 235 277 342 
2986 9546    16 118 
2964 4880 5791 10487    44 80 
2960 3694 5201 5478 6986 7522 9059 9127 11752    56 
2842 3070 3730 3899 6173    233 234 
2842 3070 3730 3899 4129 6173 6676 11117 12031    233 
2832 6990 11992    179 231 
2831 4060    165 262 
2831 4060 10199    165 
2820 4169 4825 7300 7462 11644 12408    148 
2799 8657    114 231 
2783    17 163 219 245 
2783 7451    17 219 245 
2783 7451 12583    17 245 
2783 5035 5500    17 163 
2783 3487 5035 5500 5933 7451 12583    17 
2748 3917 10819    11 259 338 
2689 3386 11152    20 247 
2687 4091 5503 5681 6663 7539 7972 9398 9764 10040    26 82 210 
2685 5717    225 260 305 
2683    263 336 
2594 6508    129 266 
2589    54 150 210 260 
2587 3240 4566 5410 11150 11165    15 154 313 
2587 3240 4566 5410 10120 11150 11165    15 154 
2587 3240 4392 4566 4864 5410 8499 11150 11165    154 313 
2538    117 178 184 
2534 6662    57 64 340 
2519 2801 7326 7863 10930 11007    128 306 
2457 3497 3913 4661 9691 10032 10793    196 225 
2447 3627 5184 10251    243 
2432 4079 9179 12001    116 203 319 
2421 2755 4599 9489 9766 11359 12003 12314    40 258 
2399 3826 9723    14 71 288 316 
2375    117 157 286 
2369 5648 8797 9793    198 260 306 
2369 5648 6448 8661 8797 9793 11077 12309    198 306 
2369 3458 5648 6448 8250 8568 8661 8797 9793 11077 12309    198 
2360 2421 2755 4599 9489 9766 11359 12003 12314    40 
2353 2400 3556 3927 4288 5001 5692 6233 7315 7585 7685 8474 8533 8552 8737 8925 8970 10353 10998 11358 11462 11704 11834    82 249 
2318    84 288 
2306 7165    100 331 
2301 2964 3559 3834 4880 5791 6869 10487    44 
2251 9511 11510    54 250 
2232    209 210 230 260 287 306 
2181    106 317 
2174    157 184 
2163    200 269 
2158 3560 3955 7187 8536    306 324 
2100    32 53 55 166 314 
2100 10275    55 314 
2100 6619    32 53 166 314 
